"Product Id","Product Type","Product Vendor","Collection Titles","Product Tags","Product Title","Product Description (HTML)","Product Description (Plain Text)","Product Category","Product Handle","Product MetaTitle","Product MetaDescription","Product Created At","Product Updated At","Product Published At","Product Status","Product Image","Product Video",Product.custom.launch
298780164136,,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship",hall-of-fame,LBD,"<p>Everyone needs an LBD (Little Black Dress)! This black-on-black crystal pen is sure to be a cult classic.</p>","Everyone needs an LBD (Little Black Dress)! This black-on-black crystal pen is sure to be a cult classic.",Pens,lbd-black-chrome-crystal-pen,LBD,"Everyone needs an LBD (Little Black Dress)! This black-on-black crystal pen is sure to be a cult classic. Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",2017-11-26T22:06:11Z,2026-01-21T23:12:40Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/lbd-limited-edition-1.jpg?v=1518129169, https://cdn.shopify.com/s/files/1/0694/3771/products/lbd-limited-edition-2.jpg?v=1518129169, https://cdn.shopify.com/s/files/1/0694/3771/products/lbd-limited-edition-3.jpg?v=1518129169, https://cdn.shopify.com/s/files/1/0694/3771/products/lbd-limited-edition-4.jpg?v=1518129172, https://cdn.shopify.com/s/files/1/0694/3771/products/lbd-limited-edition-5.jpg?v=1518129173",,2018-01-26
758432628856,,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship","hall-of-fame,safari",Giraffe,"<p><strong>Giraffe</strong> has a cream barrel with giraffe spots and gold hardware. The crystals are blended with matching shades of<span> brown and peach, and it has a matching gem on top.</span></p>","Giraffe has a cream barrel with giraffe spots and gold hardware. The crystals are blended with matching shades of brown and peach, and it has a matching gem on top.",Pens,giraffe-safari-collection,Giraffe,"Giraffe has a cream barrel with giraffe spots and gold hardware. The crystals are blended with matching shades of brown and peach, and it has a matching gem on top.",2018-04-27T19:43:05Z,2026-01-21T23:12:36Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/giraffe-safari-collection-1.jpg?v=1589684533, https://cdn.shopify.com/s/files/1/0694/3771/products/giraffe-safari-collection-2.jpg?v=1589684533, https://cdn.shopify.com/s/files/1/0694/3771/products/giraffe-safari-collection-3.jpg?v=1589684533, https://cdn.shopify.com/s/files/1/0694/3771/products/giraffe-safari-collection-4.jpg?v=1589684534",,2018-02-19
9142133953,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens","dolce vita,hall-of-fame",Marquina,"<p>A marbled black barrel with diamond crystals,<span> </span>finished in gold hardware. </p>
<p>Each pen comes with black ink with a <a href=""https://www.pengems.com/products/standard-ballpoint-refill-ink-cartridges-0-7mm-medium"" title=""PenGems Standard Ink Cartridge"">standard medium ballpoint cartridge</a>. We'll also send an extra standard cartridge for every pen.</p>","A marbled black barrel with diamond crystals, finished in gold hardware. 
Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",Pens,marquina-marble-autograph-crystal-pen,Marquina,"A marbled black barrel with diamond crystals, finished in gold hardware.  Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",2017-04-06T19:00:46Z,2026-01-21T23:12:46Z,,ARCHIVED,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-marquina-dolce-vita-limited-edition-1.jpg?v=1518129078,,2017-10-25
10225024449,Pens,PENGEMS,"The Whites, OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Shop by Metal, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens, Neutrals, Shop by Color, Gold",hall-of-fame,"To Brie or Not to Brie","<p><strong>To Brie or Not to Brie</strong>, there's no question you'll love this crystal pen! It's a gorgeous cream color and has this amazing blend of honey and vanilla crystals that shine like crazy. The gold hardware and ivory gem on top give it a really elegant touch. It's the perfect pen for when you want to add a little sophistication to your writing. Plus, it's refillable so you can use it for years to come. And the name is just so pun-tastic, it's sure to make you smile every time you use it.</p>","To Brie or Not to Brie, there's no question you'll love this crystal pen! It's a gorgeous cream color and has this amazing blend of honey and vanilla crystals that shine like crazy. The gold hardware and ivory gem on top give it a really elegant touch. It's the perfect pen for when you want to add a little sophistication to your writing. Plus, it's refillable so you can use it for years to come. And the name is just so pun-tastic, it's sure to make you smile every time you use it.",Pens,to-brie-or-not-to-brie-crystal-pen,"To Brie or Not to Brie","To Brie or Not to Brie has a glossy cream barrel with a matching blend of honey and vanilla crystals finished in gold hardware with an ivory gem on top.",2017-09-27T21:48:43Z,2026-01-21T23:12:41Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-to-brie-or-not-to-brie-1.jpg?v=1669088829, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-to-brie-or-not-to-brie-wine-country-2_14ac8c6c-1753-47aa-bde3-81a05bce065f.jpg?v=1669088829, https://cdn.shopify.com/s/files/1/0694/3771/products/pens-to-brie-or-not-to-brie-2.jpg?v=1669088829, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-to-brie-or-not-to-brie-wine-country-2.jpg?v=1657246954",,
9817360193,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,Raspberry,"Raspberry has a shimmering pink enamel berry with a blend of purple, pink, and blue crystals inside, and a pink gem on top. It is part of the Berrylicious collection.","Raspberry has a shimmering pink enamel berry with a blend of purple, pink, and blue crystals inside, and a pink gem on top. It is part of the Berrylicious collection.",Pens,raspberry-signature-crystal-pen,Raspberry,"Raspberry has a shimmering pink enamel berry with a blend of purple, pink, and blue crystals inside, and a pink gem on top. It is part of the Berrylicious collection.",2017-07-06T03:43:50Z,2026-01-21T23:12:44Z,,ARCHIVED,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-raspberry-berrylicious-limited-edition-1.jpg?v=1518129094,,2017-09-17
9129501569,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Silver, Stocking Stuffers, Shop by Color, Shop by Metal, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,Supernova,"Supernova features bright red, orange topaz, and jet black crystals blended together. The black enamel barrel has a metallic finish that looks like tiny stars that catch the light. ","Supernova features bright red, orange topaz, and jet black crystals blended together. The black enamel barrel has a metallic finish that looks like tiny stars that catch the light.",Pens,supernova-signature-crystal-pen,Supernova,"Supernova features bright red, orange topaz, and jet black crystals blended together. The black enamel barrel has a metallic finish that looks like tiny stars that catch the light.",2017-04-04T20:16:58Z,2026-01-21T23:12:47Z,,ARCHIVED,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-supernova-stargazer-limited-edition-1.jpg?v=1518129063,,2017-06-26
753766924408,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens","hall-of-fame,Pippin Loves Fiona",Fiona,"<p><strong>Fiona</strong> has a flamingo pink barrel with black crystals, finished with black chrome and a jet black gem on top.</p>
<p>Fiona is part of the <a href=""https://www.pengems.com/collections/pippin-loves-fiona"">Pippin Loves Fiona Collection</a>.</p>
<p><span><d></d></span></p>","Fiona has a flamingo pink barrel with black crystals, finished with black chrome and a jet black gem on top.
Fiona is part of the Pippin Loves Fiona Collection.",Pens,fiona,Fiona,"Fiona has a flamingo pink barrel with black crystals, finished with black chrome and a jet black gem on top. Fiona is part of the Pippin Loves Fiona Collection.",2018-04-18T00:51:29Z,2026-01-21T23:12:37Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-fiona-1.jpg?v=1621363329, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-fiona-2.jpg?v=1627405031",,2018-08-31
7078118273,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"Paper Princess II","<p>You don't have to be Cinderella to love this enchanting new designer pen. With pink, amethyst, and gold crystals, topped with a magical a color-shifting <span>Preciosa</span><span>® Vitrail Light </span>purple and gold crystal, it's like your fairy godmother let you borrow her magic wand. Bippidi boppidi boo!</p>","You don't have to be Cinderella to love this enchanting new designer pen. With pink, amethyst, and gold crystals, topped with a magical a color-shifting Preciosa® Vitrail Light purple and gold crystal, it's like your fairy godmother let you borrow her magic wand. Bippidi boppidi boo!",Pens,paper-princess-plans-designer-collection-crystal-pen,"Paper Princess II","You don't have to be Cinderella to love this enchanting new designer pen. With pink, amethyst, and gold crystals, topped with a magical a color-shifting Preciosa® Vitrail Light purple and gold crystal, it's like your fairy godmother let you borrow her magic wand. Bippidi boppidi boo!",2016-07-21T22:09:46Z,2026-01-21T23:12:51Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-paper-princess-designer-crystal-pen-1.jpg?v=1497223796, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-paper-princess-designer-crystal-pen-2.jpg?v=1497223800",,2016-10-23
9295791681,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,"the1407planners III","<p>This is the third designer pen from the1407planners! It has a dark champagne barrel topped with a sunset of colors ranging from light peach to dark pink. Cheers!</p>","This is the third designer pen from the1407planners! It has a dark champagne barrel topped with a sunset of colors ranging from light peach to dark pink. Cheers!",Pens,the1407planners-designer-crystal-pen,"the1407planners III","This is the third designer pen from the1407planners! It has a dark champagne barrel topped with a sunset of colors ranging from light peach to dark pink. Cheers!",2017-04-27T15:34:45Z,2026-01-21T23:12:45Z,,ARCHIVED,"https://cdn.shopify.com/s/files/1/0694/3771/products/pen-the1407planners-3-designer-limited-edition-1.jpg?v=1518129082, https://cdn.shopify.com/s/files/1/0694/3771/products/pen-the1407planners-3-designer-limited-edition-2.jpg?v=1518129086",,2017-12-15
7078231937,Pens,PENGEMS,"OrderlyEmails - Recommended Products, Stocking Stuffers, Shop by Color, Friends & Family, All Except Gift Cards, All Items, Most sold products, Ready to Ship, All Pens",hall-of-fame,Macchiato,"<p><strong>Limited Edition</strong></p>
<p>Treat yourself to a yummy concoction inspired by a macchiato from your favorite coffee shop. This pen features a milky white barrel, topped with an ombré blend of brown, gold, nude, and clear crystals. It's topped with a Preciosa smoked topaz crystal on top. </p>
<p>Each pen comes with black ink with a <a href=""https://www.pengems.com/products/standard-ballpoint-refill-ink-cartridges-0-7mm-medium"" title=""PenGems Standard Ink Cartridge"">standard medium ballpoint cartridge</a>. We'll also send an extra standard cartridge for every pen.</p>","Limited Edition
Treat yourself to a yummy concoction inspired by a macchiato from your favorite coffee shop. This pen features a milky white barrel, topped with an ombré blend of brown, gold, nude, and clear crystals. It's topped with a Preciosa smoked topaz crystal on top. 
Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",Pens,macchiato-coffee-collection-limited-edition-crystal-pen,Macchiato,"Limited Edition Treat yourself to a yummy concoction inspired by a macchiato from your favorite coffee shop. This pen features a milky white barrel, topped with an ombré blend of brown, gold, nude, and clear crystals. It's topped with a Preciosa smoked topaz crystal on top.  Each pen comes with black ink with a standard medium ballpoint cartridge. We'll also send an extra standard cartridge for every pen.",2016-07-21T22:20:42Z,2026-01-21T23:12:49Z,,ARCHIVED,https://cdn.shopify.com/s/files/1/0694/3771/products/pen-macchiato-coffee-shop-limited-edition-1.jpg?v=1518129010,,2016-11-14
